435665e4	3f0ee222	00000000	434d862c	00000000	00000000	00000000	00000000
4338b7a2	00000000	00000000	43506e8c	00000000	00000000	00000000	00000000
433ae262	00000000	00000000	43463845	00000000	00000000	422b2020	00000000
4366622f	00000000	00000000	433860ec	00000000	41e52eef	42b24f47	00000000
436ef1e0	00000000	00000000	4335b371	00000000	41289104	428d7084	00000000
434e152d	00000000	00000000	43399d29	00000000	40ef95c0	42034600	00000000
431da5c6	00000000	00000000	435185d1	00000000	00000000	4183b7ef	00000000
4313e64d	00000000	00000000	43717806	00000000	00000000	424fc235	00000000
431c8aa8	00000000	00000000	434429da	00000000	00000000	428f4af0	00000000
43189557	00000000	00000000	4344da63	00000000	00000000	428c8881	00000000
43017581	00000000	00000000	435eaa8b	00000000	00000000	428600b7	00000000
430a905a	00000000	00000000	434c3251	00000000	00000000	42688623	00000000
430aaae2	00000000	00000000	4322cf0e	00000000	00000000	422c4c02	00000000
42dd95d3	00000000	00000000	4343fd83	00000000	00000000	41ff3c1c	00000000
42ccb249	00000000	00000000	4356fc45	00000000	00000000	41b22b5d	00000000
4310a0df	00000000	00000000	428fd1ee	42482ecc	00000000	42a1cc21	00000000
00000000	00000000	00000000	433addfd	427af50e	00000000	42f73af8	00000000
00000000	00000000	43565a72	4429ec15	00000000	00000000	42f0302b	00000000
00000000	00000000	438fc632	43cc3d43	00000000	00000000	4185578a	00000000
00000000	41066e9c	41475086	421e7167	00000000	00000000	00000000	00000000
41c1a972	42852f4d	00000000	419f6af2	00000000	00000000	00000000	00000000
42eb6b7e	42b515b2	00000000	00000000	00000000	42429307	00000000	00000000
00000000	00000000	00000000	417b967c	41d229b4	00000000	00000000	00000000
00000000	00000000	41ebcad5	43467679	00000000	4283084f	43479738	00000000
4432eb16	4349f6f2	42a25cf1	00000000	43041f59	43c6bce9	43f53281	43c73215
42a73052	41f0c0f2	00000000	00000000	00000000	00000000	00000000	00000000
00000000	00000000	00000000	438ba04b	00000000	00000000	00000000	00000000
42aecf88	00000000	00000000	42c1046a	3c876fa4	42e43e0a	43c37fc4	3e0aa388
43740b67	00000000	00000000	00000000	436b261e	43ae5e56	00000000	00000000
00000000	00000000	422ab154	41d96121	00000000	00000000	42c798f9	00000000
43df548e	00000000	00000000	00000000	438d6bb0	43f720cf	44183902	417b072a
44190776	00000000	42eb68c7	00000000	43d77def	43795da1	436daac0	00000000
43cdb0cf	00000000	41e11fc8	00000000	43377785	00000000	41976102	00000000
439cace6	00000000	00000000	41c08d58	42ce47f6	422b4c29	4294ef5a	00000000
438a5975	00000000	00000000	42b1638a	41b48acb	41c6d9eb	42c5378f	00000000
438d1d6c	00000000	00000000	42cf0b07	41111611	416ef584	42508f82	00000000
43866391	00000000	00000000	42f98414	00000000	40afaaf6	422c2f9b	00000000
43933e97	4181b41f	00000000	42e308ca	00000000	4227039f	41cd6e7f	00000000
43961d63	41880548	00000000	42aa1244	00000000	41aae1f8	4152b2d0	00000000
438d4c85	00000000	00000000	42ebb48c	00000000	41d8c556	4254aa0c	00000000
43828502	00000000	00000000	432acd62	00000000	418a0b45	426a71e0	00000000
43671146	00000000	00000000	434c3777	00000000	00000000	41c64170	00000000
436c1126	00000000	00000000	43431c84	00000000	3e73888f	41c9881a	00000000
43806d18	418f955b	00000000	431e69af	00000000	41d37497	00000000	00000000
4360a2c2	409171d1	00000000	432b914a	00000000	00000000	00000000	00000000
4351b463	00000000	00000000	435a2d0f	00000000	41685ed4	41b1cd91	00000000
435dc240	00000000	00000000	4336e246	00000000	420a3ab0	42195fda	00000000
434edfa1	00000000	00000000	43530e32	00000000	418ddf79	42973e7a	00000000
435a24d6	00000000	00000000	4351dd76	00000000	428061a8	42cdd3ce	00000000
4366a833	00000000	00000000	43226984	00000000	420918d0	42a7fcea	00000000
4368687e	00000000	00000000	43244d12	00000000	3fbb6ae8	428618bb	00000000
434d0489	00000000	00000000	434a6f5a	00000000	00000000	42200cc6	00000000
431d7904	00000000	00000000	43707103	00000000	00000000	424101f5	00000000
431519d8	00000000	00000000	43505e77	00000000	00000000	428a3b50	00000000
432e19b1	00000000	00000000	434a2b7b	00000000	00000000	42a139de	00000000
433143f9	00000000	00000000	4337642f	00000000	00000000	42a485fa	00000000
430c4001	00000000	00000000	435a4623	00000000	00000000	42beed2a	00000000
430c79af	00000000	00000000	43544b37	00000000	00000000	42b73858	00000000
43074713	00000000	00000000	4352ff86	00000000	00000000	425e49b3	00000000
42c4bba7	00000000	00000000	4340e92c	00000000	00000000	4220ca6d	00000000
42a5ca2b	00000000	00000000	4360288e	00000000	00000000	420be4bf	00000000
4316f7ea	00000000	00000000	431cf270	00000000	00000000	41f97c09	00000000
42b4d218	00000000	00000000	417bc2dc	433e61f2	00000000	42a7c2db	00000000
00000000	00000000	00000000	43c65435	3fb5c4a0	00000000	4382ed93	00000000
00000000	00000000	43a37679	4412e95d	00000000	00000000	432aaa0e	00000000
00000000	00000000	4384561d	43a59bee	00000000	00000000	00000000	00000000
00000000	4210aa82	42a89ecf	42f9d951	00000000	00000000	00000000	00000000
42ac256d	42d6652a	00000000	00000000	00000000	42ab0c2f	00000000	00000000
